UNIQUE_KEY;INSTITUTION;COTE;DESCRIPTION;LIEN_BIBLIO;PREC_LIEN_BIBLIO;COPYRIGHT_NOTICE;LIEN_META;COMM_INTERNE;REDACTEUR;SAISIE_PAR;VISE_PAR;VISE_LE;ETAT_MODIFIE_LE;ETAT_AVANCEMENT_SAISIE
1202;Archives de l'Institut de France - Paris;Académie des beaux-arts, 5 E 2 /;[1804, sculpture, état d'avancement des envois] État d'avancement des envois des pensionnaires sculpteurs à Rome, 1804 TYPE : rapport d'envoi du directeur de l'Académie de France à Rome AUTEUR : Suvée, Joseph Benoît PAGE DE TITRE : [p.1] École française des Beaux-Arts à Rome / A messieurs composant la classe des Beaux-Arts de l'Institut National de France le Directeur de l'École des Beaux-Arts à Rome LIEU DE REDACTION : Rome DATE : 1804 TRANSCRIPTION : Messieurs Je vous ai fait connaître par mon rapport du 11 [ill.] an 12 les convenances de la localité où j'ai placé notre école pour l'exercice des arts ainsi que son organisation pour l'ordre des études. Je vais maintenant vous en apporter le résultat par l'indication des travaux d'émulation de Messieurs les pensionnaires, dont l'exposition aura lieu ici dans le palais national au premier vendémiaire prochain. J'aurais désiré, Monsieur, vous mettre à même d'en juger par les faits, mais vous savez combien notre situation politique met des obstacles invincibles à l'envoi de ces ouvrages. [...] [p.6] Enfin, par l'organisation que j'ai donné à notre école des Beaux-arts, on pourra juger du talent des pensionnaires sculpteurs à leur retour en France. L'ancienne organisation ne demandait d'eux qu'une figure de bas-relief de la moitié de la grandeur naturelle, et encore, les moyens qui leurs étaient accordés pour cela, suffisaient à peine pour en supporter les frais d'exécution. Aujourd'hui, [p.7] ils font les trois premières années un bas-relief de grandeur naturelle ou une figure de ronde-bosse de la moitié de cette dimension, et la cinquième, le modèle d'une statue nue de grandeur naturelle. M. Calamar [sic] fit dans la première année de son pensionnat plus, il essaya le modèle d'une statue nue de dix pieds de proportion. Ce grand travail quoiqu'il y eut beaucoup de mérite, n'en eut pas assé [sic.] aux yeux de son auteur. Il le brisa, et entreprit un second modèle de dix pieds et demi de hauteur. Il a donné à la tête une parfaite ressemblance de notre empereur. Il a ingénieusement exprimé que ce grand homme, en éloignant la guerre, offre la paix au monde. Outre plusieurs ouvrages en marbre, soit d'après ses propres modèles, soit d'après l'antique M. Calamar [sic] a fait pour son travail d'émulation de la cinquième année un modèle représentant l'Innocence réchauffant un serpent dans son sein. Le Gouvernement a autorisé l'exécution en marbre de ce modèle. M. Callamar [sic] a aussi terminé son esquisse, groupe ordonné par le règlement. Il a choisi une scène dans Sophocle. / M. Dupaty ne s'est pas moins distingué par son ardeur au travail je ne saurais assez rendre justice à son courage, comme au bon effort qui l'a guidé dans tout le cours de ses études. Un bas-relief de huit pieds de haut en fut le premier objet, mais un accident a voulu qu'il n'a été vu que de peu de personnes. Il aurait pu [en] décourager d'autres, il n'a fait qu'animer notre artiste. Il s'est aussitôt occupé d'une statue toute nue de plus de sept pieds de proportion représentant Philoctète accablé par la douleur. Ce modèle achevé, j'obtins du ministre l'autorisation pour le faire exécuter en marbre, mais, les circonstances ne permettant pas qu'il en arrive à Rome, M. Dupaty ira l'exécuter à Carrare. [p. 8] Nonobstant le succès et les encouragements qu'obtint M. Dupaty de cet ouvrage, se voyant encore du temps avant de pouvoir partir, il s'est mis à faire un nouveau modèle du même sujet, avec beaucoup plus de mérite. M. Dupaty a d'ailleurs fait plusieurs morceaux en marbre et des modèles de différents caractères. / M. Moutoni [sic] essuya aussi des disgrâces dans son premier modèle son courage a, de même, su y suppléer, il a fini par faire un groupe de deux figures de six pieds et demi de proportion, c'est l'instant où Thésée vinqueur [sic] des amazones enlève leur Reine. Cet ouvrage, par son originalité et son ensemble parait captiver tous les suffrages. C'est le morceau d'émulation de la cinquième année de son auteur. M. Marin, quoique moins souffrant depuis qu'il est à Rome, d'un rhumatisme goutteux, a cependant peu de jours de suite qu'il peut sérieusement s'occuper de son art. Nonobstant cet état, M. Marin a fait le modèle presque de grandeur naturelle d'une Vénus sortant de l'onde et ajustant ses cheveux et a aussi exécuté en marbre le tombeau de Madame de Beaumont-Montmorin, placé dans l'église de Saint-Louis-des-Français. Il vient enfin de terminer le modèle d'une statue de grandeur naturelle représentant Thélémaque [sic] dans son esclavage. / M. Milhomme a fait pour travail d'émulation de la première année une figure de ronde-bosse représentant Psiché [sic] abandonnée, figure de trois pieds et demi de proportion. M. Egenviller [sic], arrivé depuis huit mois s'est d'abord livré à l'étude de l'antique, il a fait une copie du Jason [sic]. Et maintenant il s'occupe à terminer sa statue d'émulation pour la première année de son pensionnat. Hymen qui réunit deux couronnes sur l'autel consacré à l'union conjugale, en est le sujet. J'ai l'honneur d'être avec une respectueuse estime Messieurs / Votre très humble et dévoué correspondant Suvée. /;;;;Les Envois de Rome en peinture et sculpture, 1804-1914 - INHA /;Base Envois de Rome FMP, fichier Documents.fp7, notice : £Etat envois, AFR à Institut, 1804, sculpture£ Notice créée le 04/07/2017. Notice modifiée le : 02/03/2018. Rédacteur : France Lechleiter. /;France Lechleiter /;system;;;14/03/2019 00:00;Publiée
1434;Archives nationales - Pierrefitte-sur-Seine - AN;20170113/2 /;[1804, sculpture, rapport Institut à AFR fantôme] TYPE : rapport de l'Institut de France à Académie de France à Rome DATE : 1804 COMMENTAIRE : Document introuvable. Les archives de l'Académie de France à Rome (20170113/2) ne présentent aucun rapport sur les envois des pensionnaires sculpteurs en 1804. /;;;;Les Envois de Rome en peinture et sculpture, 1804-1914 - INHA /;Base Envois de Rome FMP, fichier Documents.fp7, notice : £Rapport envois, Institut à AFR, 1804, sculpture£ Notice créée le 04/10/2018. Notice modifiée le : 08/10/2018. Rédacteur : France Lechleiter. /;France Lechleiter /;system;;;14/03/2019 00:00;Publiée
1537;Archives de l'Institut de France - Paris;Académie des beaux-arts, 5 E 2 /;[1804, sculpture, rapport Institut primitif fantôme] TYPE : rapport de l'Institut de France - primitif DATE : 1804 COMMENTAIRE : Document introuvable. Le carton de pièces annexes 5 E 2 ne contient aucun rapport sur les envois des pensionnaires sculpteurs pour l'année 1804. /;;;;Les Envois de Rome en peinture et sculpture, 1804-1914 - INHA /;Base Envois de Rome FMP, fichier Documents.fp7, notice : £Rapport envois, primitif, 1804, sculpture£ Notice créée le 11/07/2018. Notice modifiée le : 08/10/2018. Rédacteur : France Lechleiter. /;France Lechleiter /;system;;;14/03/2019 00:00;Publiée
1777;Archives de l'Institut de France - Paris;Académie des beaux-arts, 2 E 1 /;[1804, sculpture, rapport Institut procès-verbal fantôme] TYPE : rapport de l'Institut de France - officiel DATE : 1804 COMMENTAIRE : Document introuvable. Le registre 2 E 1 ne présente aucune transcription d'un rapport sur les envois des pensionnaires sculpteurs pour l'année 1804. /;;;;Les Envois de Rome en peinture et sculpture, 1804-1914 - INHA /;Base Envois de Rome FMP, fichier Documents.fp7, notice : £Rapport envois, procès-verbal, 1804, sculpture£ Notice créée le 11/07/2018. Notice modifiée le : 08/10/2018. Rédacteur : France Lechleiter. /;France Lechleiter /;system;;;14/03/2019 00:00;Publiée
1435;Archives nationales - Pierrefitte-sur-Seine - AN;20170113/2 /;[1805, sculpture, rapport Institut à AFR fantôme] TYPE : rapport de l'Institut de France à Académie de France à Rome DATE : 1805 COMMENTAIRE : Document introuvable. Les archives de l'Académie de France à Rome (20170113/2) ne présentent aucun rapport sur les envois des pensionnaires sculpteurs en 1805. /;;;;Les Envois de Rome en peinture et sculpture, 1804-1914 - INHA /;Base Envois de Rome FMP, fichier Documents.fp7, notice : £Rapport envois, Institut à AFR, 1805, sculpture£ Notice créée le 04/10/2018. Notice modifiée le : 08/10/2018. Rédacteur : France Lechleiter. /;France Lechleiter /;system;;;14/03/2019 00:00;Publiée
1538;Archives de l'Institut de France - Paris;Académie des beaux-arts, 5 E 2 /;[1805, sculpture, rapport Institut primitif fantôme] TYPE : rapport de l'Institut de France - primitif DATE : 1805 COMMENTAIRE : Document introuvable. Les archives de l'Académie des beaux-arts ne conservent aucun rapport sur les envois des pensionnaires sculpteurs en 1805. /;;;;Les Envois de Rome en peinture et sculpture, 1804-1914 - INHA /;Base Envois de Rome FMP, fichier Documents.fp7, notice : £Rapport envois, primitif, 1805, sculpture£ Notice créée le 04/10/2018. Notice modifiée le : 08/10/2018. Rédacteur : France Lechleiter. /;France Lechleiter /;system;;;14/03/2019 00:00;Publiée
1778;Archives de l'Institut de France - Paris;Académie des beaux-arts, 2 E 2 /;[1805, sculpture, rapport Institut procès-verbal fantôme] TYPE : rapport de l'Institut de France - officiel DATE : 1805 COMMENTAIRE : Document introuvable. Le registre 2 E 2 ne présente aucune transcription d'un rapport sur les envois des pensionnaires sculpteurs pour l'année 1805. /;;;;Les Envois de Rome en peinture et sculpture, 1804-1914 - INHA /;Base Envois de Rome FMP, fichier Documents.fp7, notice : £Rapport envois, procès-verbal, 1805, sculpture£ Notice créée le 11/07/2018. Notice modifiée le : 08/10/2018. Rédacteur : France Lechleiter. /;France Lechleiter /;system;;;14/03/2019 00:00;Publiée
1203;Archives de l'Institut de France - Paris;Académie des beaux-arts, 5 E 3 /;"[1805-1808, sculpture, état d'avancement des envois 1] Tableau des envois des pensionnaires sculpteurs pour 1805, 1806, 1807 et 1808 TYPE : rapport d'envoi du directeur de l'Académie de France à Rome AUTEUR : Anonyme PAGE DE TITRE : Rome / le 28 septembre 1808 / État des ouvrages de Peinture Sculpture Architecture et Gravure de Messieurs les Pensionnaires de l'École de Rome formant l'Exposition de 1808 / LIEU DE REDACTION : Rome DATE : 1808 TRANSCRIPTION : Rome, le 28 septembre 1808 / État des ouvrages de Peinture, Sculture [sic], Architecture et Gravure composant l'Exposition publique de l'Académie Impériale de France, de la présente année 1808 et comprenant en outre les travaux de 1805, 1806 et 1807 qui doivent être conjointement envoyés à Paris et soumis à l'examen de la Classe des Beaux arts de l'Institut. […] / Sculture [sic] M. Dupaty : Philoctète modèle en plâtre plus grand que nature exposé en 1806 / M. Moutony : Thésée enlevant l'amazone groupe plus grand que nature en 1806 / M. Marin : Un amour endormi, copie en marbre, d'après l'antique due à l'expiration de son pensionnat le 23 septembre 1807 exécuté en 1808. / Télémaque figure d'Étude en plâtre exposée en 1806 // Sculture [sic] / M. Moutony / ex pensionnaire : Thésée enlevant l'amazone groupe plus grand que nature exposé en 1806 ; la sculture [sic] étant d'un transport dispendieux il n'a encore été rien envoyé à Paris depuis le rétablissement de l'École de Rome une seule statue en marbre représentant l'innocence par M. Calamar [sic] est à Civita Vecchia avec les antiquités Borghèse / M. Marin / ex pensionnaire : Télémaque figure en plâtre grandeur de nature exposée en 1806 / Un amour endormi figure en marbre, copie d'après l'antique due à l'expiration du pensionnat de l'auteur 23 septembre 1807, exécuté et exposé cette année 1808 / M. Dupaty / ex pensionnaire : Philoctète figure en plâtre plus grande que nature exécutée et exposée en 1806 / M. Milhomme // ex pensionnaire : l'hermaphrodite couchée [sic] de la villa Borghèse copie en marbre due par l'auteur à l'expiration de son pensionnat 23 septembre 1808 exposée en 1808 ; Nota M. Milhomme ayant été chargé par le Gouvernement d'exécuter un marbre de la statue du général Hoche il remplira à Paris son obligation comme pensionnaire de faire une figure d'étude grandeur de nature. / M. Eggensviller [sic] : une copie demi nature en plâtre du Cincinnatus ; l'hymen déposant des couronnes sur un autel figure d'étude en plâtre de 4 pieds de proportion. / Ces deux ouvrages furent exposés en 1805 / Mercure voyant se réunir les deux serpents qui forment son caducée, figure en plâtre, petite nature due en 1806. Exposée cette année 1808 / Un amour piquant un papillon attaché sur une rose, figure due en 1807 / Exposée cette année 1808 / L'Apollon au lézard, copie en marbre d'après l'antique qui sera due au gouvernement à la fin du pensionnat de l'auteur et qu'il donne par avance cette année 1808 / M. Giraud : M. Giraud habituellement malade depuis son séjour à Rome et forcé d'être souvent à la campagne n'a pu achever aucune oeuvre qu'il avait commencé. M. Laitié : Pâris sur le mont Ida figure d'étude demi nature ; 1806 / Mercure sur le mont Cytheron au moment où les deux serpents se réunissent à la baguette qui forme son caducée figure de 4 pieds exécutée pour 1807 exposée en 1808 / David après avoir défait Goliath, bas relief grandeur de nature ; 1808 M. Calloigne : une figure de femme étude demi nature pour 1808 COMMENTAIRE : L'original se trouve dans les archives de l'Académie de France à Rome, 20180071/1 f° 1-2. /";;;;Les Envois de Rome en peinture et sculpture, 1804-1914 - INHA /;Base Envois de Rome FMP, fichier Documents.fp7, notice : £Etat envois, AFR à Institut, 1805-1808, sculpture£ Notice créée le 06/07/2017. Notice modifiée le : 10/10/2018. Rédacteur : France Lechleiter. /;France Lechleiter /;system;;;14/03/2019 00:00;Publiée
1204;Archives de l'Institut de France - Paris;Académie des beaux-arts, 2 E 2, p. 230-239 /;"[1805-1808, sculpture, état d'avancement des envois 2] Lecture en séance d'une lettre du directeur de l'École de Rome sur l'état des envois des pensionnaires sculpteurs 1805, 1806, 1807 et 1808 TYPE : rapport d'envoi du directeur de l'Académie de France à Rome AUTEUR : Suvée, Joseph Benoît PAGE DE TITRE : [p. 230] Séance du samedi 8 octobre 1808 LIEU DE REDACTION : Paris DATE : 08/10/1808 TRANSCRIPTION : [p. 233] Le secrétaire perpétuel annonce qu'il a reçu du Directeur de l'école de Rome les rapports sur les travaux d'émulation des pensionnaires et il en fait la lecture. La classe charge la commission précédemment nommée pour revoir les règlements relatifs aux Écoles spéciales de peintures, sculpture et architecture, de faire également un rapport sur la communication de Monsieur le Directeur de l'École de Rome et de proposer des mesures pour le maintien du règlement aux études des artistes pensionnaires du gouvernement en Italie. / Voici le rapport de M. le Directeur / Rome le 27 septembre 1808 / Le Directeur de l'Académie Impériale de France à Rome correspondant de la classe des beaux arts de l'Institut, membre de l'Académie de Saint Luc. / à Messieurs les membres de l'Institut composant la classe des beaux arts à Paris / Messieurs / J'ai constamment présent à l'esprit la bonté que vous eûtes de jetter [sic] les yeux sur moi en me désignant pour remplir ici les fonctions [p. 234] de Directeur de l'École de France, choix que S[a] M[ajesté] a bien voulu confirmer par décret. / [...] [p. 235] Parmi les ouvrages soumis à votre examen vous aurez à regretter de ne rien voir de Monsieur Giraud, jeune sculpteur de la plus grand espérance, mais qui presque toujours malade depuis son séjour ici, n'a pu mener à sa fin aucune des études qu'il a commencé. L'avis des médecins a été qu'il lui fallait respirer un air plus pur et plus frais que celui de Rome et il est à la campagne depuis le commencement des chaleurs. / Monsieur Milhomme dont le pensionnat vient d'expirer se trouve en arrière de sa figure d'étude, dernier ouvrage que les sculpteurs pensionnaires sont tenus de produire, pour mettre la classe à même de juger en définitif des résultats de leurs études ici. Mais M. Milhomme ayant été chargé d'exécuter pour le gouvernement la statue du général Hoche, une assez grande portion de son temps a été employée à cet ouvrage, et son intention étant de retourner dans peu [de temps] à Paris, il s'engage à y faire cette dernière figure d'étude qu'il devait faire à Rome. Au reste, Messieurs, je suis persuadé que vous verrez dans la statue de M. Milhomme, la marque d'un talent certain. Cet ouvrage me parait devoir contribuer à la réputation de son auteur. / Monsieur Dupaty qui n'est plus pensionnaire depuis un an avait satisfait à tous ses engagements. Il vient de terminer pour le Gouvernement la statue du général Leclerc, ouvrage également fait pour donner du talent de M. Dupaty une idée très avantageuse. Indépendamment de ces deux statues, voici les ouvrages en marbre émanés [sic] de l'école qui appartiennent [rayé : appartient] aussi au Gouvernement et dont l'envoi à Paris sera sans doute ordonné conjointement avec les deux statues ; savoir / Par M. Calamar [sic], de retour à Paris, une figure de jeune femme assise, grandeur nature, représentant l'innocence. Cette statue est en remplacement de la copie que devait M. Calamar [sic]. / Par M. Marin, un amour endormi, copie d'après l'antique. / Par M. Milhomme l'hermaphrodite tiré de la villa Borghèse. / Par M. Eggenschwyler, l'Apollon au lézard dont l'original est en Angleterre. / Viennent ensuite les études modelées en plâtre tant des années précédentes que de celle-ci et qui jointes aux marbres fournissent un ensemble d'objets propices à intéresser la classe dont le [p. 236] jugement d'ailleurs importe à leurs auteurs. Je me dispose à demander à Son Exc[ellence] le Ministre de l'Intérieur sa décision et ses ordres relativement à leur transport. La mer n'étant pas libre, l'envoi par terre, quoi que plus dispendieux, parait le seul praticable. / Messieurs les pensionnaires architectes ont produit une masse de travaux très intéressants. [...] [p. 237] État des ouvrages de peinture, sculpture, architecture et gravure composant l'exposition publique de l'Académie Impériale de France de la présente année 1808 et comprenant en outre les travaux de 1805-1806 et 1807 qui doivent être conjointement envoyés à Paris et soumis à l'examen de la Classe des beaux arts de l'Institut. / [...] Sculpture // M. Dupaty : Philoctète modèle en plâtre plus grand que nature exposé en 1806. / M. Moutony : Thésée enlevant l'amazone groupe plus grand que nature en 1806 / M. Marin : Un amour endormi, copie en marbre, d'après l'antique due à l'expiration de son pensionnat 23 septembre 1807 exécutée en 1808 ; Télémaque figure d'étude en plâtre exposée en 1806. / M. Milhomme : l'Hermaphrodite couchée de la villa Borghèse copie en marbre due au gouvernement à l'expiration de son pensionnat 23 septembre 1808. / M. Milhomme ayant été chargé pour le Gouvernement d'exécuter en marbre la statue du général Hoche, remplira à Paris son obligation comme pensionnaire, de faire sa dernière figure d'étude, grandeur de nature. // M. Eggensviller [sic] : Une copie demi nature de Cincinnatus / L'hymen posant des couronnes sur un autel figure d'étude de 4 pieds ; ces deux figures furent exposées en 1805. / Mercure voyant se réunir les deux serpents qui forment son caducée 1806. / Un amour piquant un papillon attaché sur une rose faite en 1808 pour 1807. / [p.239] l'Apollon dit au lézard, copie en marbre d'après l'antique, et dont l'original est en Angleterre, qui sera due au gouvernement à la fin du pensionnat de M. Eggensviller [sic] en mars 1810 donné par avance en 1808 // M. Laitié : Pâris sur le mont Idas [sic], étude demi nature ; Le buste de M. Suvée ; ces deux ouvrages furent exposés en 1806. / Mercure sur le mont Cytheron au moment où les deux serpents s'unissent à la baguette qui forme son caducée, figure de 4 pieds exécutée en 1808 pour 1807 / Un buste étranger à l'envoi. / David après avoir défait Goliath, bas-relief grandeur de nature : 1808 // M. Giraud : M. Giraud habituellement malade depuis son séjour à Rome et résidant à la campagne depuis 4 mois n'a pu achever aucune des études qu'il a commencé. // M. Calloigne : Une figure de femme étude demie nature pour 1808 / Deux bustes étrangers à l'envoi. / [...] /";;;;Les Envois de Rome en peinture et sculpture, 1804-1914 - INHA /;Base Envois de Rome FMP, fichier Documents.fp7, notice : £Etat envois, AFR à Institut, 1805-1808, sculpture2£ Notice créée le 06/07/2017. Notice modifiée le : 02/03/2018. Rédacteur : France Lechleiter. /;France Lechleiter /;system;;;14/03/2019 00:00;Publiée
1205;Bibliothèque nationale de France - Paris - BnF;Microfilm D-71 /;[1806, sculpture, état d'avancement des envois] État imprimé de l'avancement des envois à Rome, 1806, sculpture TYPE : rapport d'envoi du directeur de l'Académie de France à Rome AUTEUR : Lebreton, Joachim PAGE DE TITRE : Notice des travaux de la classe des beaux-arts de l'Institut national, depuis le 1er vendémiaire an 14, lue dans la séance publique du 4 octobre 1806, par Joachim Lebreton, secrétaire perpétuel de la classe, membre de celle d'histoire et de littérature ancienne et de la Légion d'honneur LIEU DE REDACTION : Paris DATE : 10/10/1806 SOURCE : Le Moniteur Universel, 1806-10-10 TRANSCRIPTION : [...] L'envoi en est ajourné avec celui des travaux de sculpture que la difficulté des transports retient à Rome depuis longtemps. Il est fâcheux que la classe ne puisse pas en faire jouir le public, et qu'elle-même ne puisse pas juger des progrès qu'ont fait les pensionnaires sculpteurs. Ce qu'attestent les comptes rendus par M. le directeur de l'École, c'est qu'il y a eu une constance de zèle et une ardeur d'émulation remarquable de MM. les pensionnaires sculpteurs. Deux d'entre eux, MM. Callamar [sic] et Dupaty, ont obtenu de S[on] Exc[ellence] le ministre de l'intérieur une année de prolongation de pension, qui permet au premier de terminer une statue en marbre, de l'Innocence, et au second d'entreprendre l'exécution, aussi en marbre, d'une statue de Philoctète, en même tems [sic] qu'il prépare une Étude de grandeur naturelle, représentant une Vénus céleste. // M. Marin n'ayant pu, faute de marbre, exécuter la copie d'une statue antique que les pensionnaires sculpteurs doivent faire pour le Gouvernement, pendant leur cinquième année [sic] a produit des ouvrages d'une petite dimension. // M. Milhomme travaille au marbre de sa Psyché qu'il exposa l'année dernière, et au modèle de la statue de Ganymède enlevé par l'aigle de Jupiter. // Enfin, M. Egenviller [sic], le dernier des pensionnaires sculpteurs arrivé à Rome, termine le modèle d'un Mercure, de grandeur naturelle. COMMENTAIRE : Note : la copie d'après l'antique appartient au programme de 4e année des envois des pensionnaires sculpteurs. /;;Le Moniteur Universel, 1806-10-10 /;;Les Envois de Rome en peinture et sculpture, 1804-1914 - INHA /;Base Envois de Rome FMP, fichier Documents.fp7, notice : £Etat envois, AFR à Institut, 1806, sculpture£ Notice créée le 19/07/2017. Notice modifiée le : 11/07/2018. Rédacteur : France Lechleiter. /;France Lechleiter /;system;;;14/03/2019 00:00;Publiée
