UNIQUE_KEY,url_agorha,Nom_complet,Type_activite_principale,Nombre_Envois_Publié,Sexe,Pays_Nationalite,Pays_Nationalite_1,Lieu_naissance,Date_naissance_texte,annee_naissace,Lieu_naissance_geoloc,Lieu_naissance_geoloc_lat,Lieu_naissance_geoloc_lon,Lieu_deces,Date_deces_texte,annee_deces,Prix_distinctions,Formation,Date_presence_academie_debut,Date_presence_academie_debut_annee,Date_presence_academie_fin,Date_presence_academie_fin_annee,PrixdeRome_Type,PrixdeRome_Annee,PrixdeRome_Sujet,Atelier,Commentaire biographique,Mention_archive,Precision_archive
110035,https://agorha.inha.fr/inhaprod/ark:/54721/002110035,"Alaphilippe, Camille",sculpteur,6,masculin,France,,Tours,14 août 1874,1874,"47.392777777778, 0.68833333333333",47.392777777778,0.68833333333333,Algérie,Après 1939,1939,"Salon, mention honorableSalon, médaille 3e classeSalon, médaille d'argentSalon, médaille d'honneur",formation-scolarité à l'École des beaux-arts / 31 juillet 1894 / 1898 / sculpture / formation-pensionnaire à l'Académie de France à Rome / 30 décembre 1898 / 31 décembre 1902 / sculpture / début de la pension le 1er janvier 1899 /,30 décembre 1898,1898,31 décembre 1902,1902,concours-Prix de Rome,1898,Cain poursuivi par la vengeance céleste,élève à l'École des beaux-arts de Tours (atelier François Sicard) ; élève de Louis-Ernest Barrias / #,"Le sculpteur, germanophile, épouse une allemande à Düsseldorf en 1906. A l'approche de la Première Guerre mondiale, il devient suspect aux yeux de l?État français qui annule ses commandes. Après le conflit, il s'installe en Algérie. Distinctions : 1901, Salon, mention honorable ; 1902, Salon, médaille d'honneur, 1905, Salon, médaille de 3e classe ; 1914, Salon, médaille d'argent.","Archives de l'Académie de France à Rome-Tableau des envois de Rome, 1900, sculpture TYPE : rapport d'envoi du directeur de l'Académie de France à Rome AUTEUR : Guillaume, Eugène PAGE DE TITRE : Académie de France à Rome. Section de sculptur-162658;Archives de l'Académie de France à Rome-Tableau des envois de Rome, 1901, sculpture TYPE : rapport d'envoi du directeur de l'Académie de France à Rome AUTEUR : Guillaume, Eugène PAGE DE TITRE : Académie de France à Rome. Section de sculptur-162658;Archives de l'Académie de France à Rome-Tableau des envois de Rome, 1902, sculpture TYPE : rapport d'envoi du directeur de l'Académie de France à Rome AUTEUR : Guillaume, Eugène PAGE DE TITRE : Académie de France à Rome. Section de sculptur-162658;Archives de l'Académie de France à Rome-Tableau des envois de Rome, 1903, sculpture TYPE : rapport d'envoi du directeur de l'Académie de France à Rome AUTEUR : Guillaume, Eugène PAGE DE TITRE : Académie de France à Rome. Section de sculptur-162658;Archives de l'Institut de France - Paris-Académie des beaux-arts, 5 E 69-Rapport primitif de l'Institut sur les envois de sculpture de 1900 TYPE : rapport de l'Institut de France - primitif AUTEUR : Anonyme LIEU DE REDACTION : Paris DATE : 1900 TRANSCRIPTION : [f°1] Monsie-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 5 E 70-Rapport primitif de l'Institut sur les envois de sculpture de 1901 TYPE : rapport de l'Institut de France - primitif AUTEUR : Anonyme LIEU DE REDACTION : Paris DATE : 1901 TRANSCRIPTION : [f°1] Sculpt-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 2 E 20, p. 205-207-Procès-verbal du rapport sur les envois de sculpture de 1900 TYPE : rapport de l'Institut de France - officiel AUTEUR : Coutan, Jules PAGE DE TITRE : Séance du 21 juillet 1900. Section de sculpture LI-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 2 E 20, p. 353-355-Procès-verbal du rapport sur les envois de sculpture de 1901 TYPE : rapport de l'Institut de France - officiel AUTEUR : Guillaume, Eugène PAGE DE TITRE : Séance du 20 juillet 1901. M. Thomas, pour M.-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 2 E 21, p. 104-106-Procès-verbal du rapport sur les envois de sculpture de 1903 TYPE : rapport de l'Institut de France - officiel AUTEUR : Barrias, Ernest PAGE DE TITRE : Séance du 11 juillet 1903. M. Barrias, au nom de-162659;","oeuvres : La Consolatrice ; Vénus anadyomène, copie d'après l'antiqueoeuvre : Le Lanceur d'épervieroeuvre : L'Enfant (plâtre de l'envoi de 4e année)oeuvre : L'Enfant [Les Mystères douloureux]oeuvres : La Consolatrice ; Vénus anadyomène, copie d'après l'antiqueoeuvres : Le Lanceur d'épervier ; Frise décorative (titre non précisé)oeuvres : La Consolatrice ; Vénus anadyomène, copie d'après l'antiqueoeuvres : Frise décorative (titre non précisé) ; Le Lanceur d'épervieroeuvre : L'Enfant [Les Mystères douloureux]"
110038,https://agorha.inha.fr/inhaprod/ark:/54721/002110038,"Alaux, Jean",peintre,,masculin,France,,Bordeaux,15 janvier 1786,1786,"44.837777777778, -0.57944444444444",44.837777777778,-0.57944444444444,Paris,2 mars 1864,1864,"Salon, médaille d'orLégion d'honneur, chevalierLégion d'honneur, officier",formation-scolarité à l'École des beaux-arts / Septembre 1807 / 1815 / peinture / formation-pensionnaire à l'Académie de France à Rome / 18 décembre 1815 / 31 décembre 1820 / peinture / La pension démarre à compter du 1er janvier 1816 /,18 décembre 1815,1815,31 décembre 1820,1820,concours-Prix de Rome,1815,Briséis pleurant Patrocle,"élève de Vincent et Guérin, qui le présentent à l'École des beaux-arts / #","1824, Salon, médaille d'or ; 1828, chevalier Légion d'honneur ; 1849, officier Légion d'honneur.","Archives de l'Institut de France - Paris-Académie des beaux-arts, 5 E 9-Récapitulatif des ouvrages de peinture appartenant au gouvernement entre 1803 et 1817 TYPE : archives de l'institution AUTEUR : Anonyme PAGE DE TITRE : Institut de France. Académie Royale des Beaux-Ar-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 5 E 9-État des ouvrages des pensionnaires en peinture et gravure, 1817 TYPE : rapport d'envoi du directeur de l'Académie de France à Rome AUTEUR : Lethière, Guillaume PAGE DE TITRE : État des ouvrages de Mr-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 5 E 10-État des ouvrages des pensionnaires en peinture, 1818 TYPE : rapport d'envoi du directeur de l'Académie de France à Rome LIEU DE REDACTION : Rome DATE : 1818 TRANSCRIPTION : [r°] Académie Royale de Fr-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 5 E 10-État des ouvrages des pensionnaires en peinture, 1819 TYPE : rapport d'envoi du directeur de l'Académie de France à Rome AUTEUR : Directeur de l'Académie de France à Rome PAGE DE TITRE : Académie R[oy-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 5 E 9-État des pensionnaires présents à la Villa en 1817 TYPE : archives de l'institution AUTEUR : Thévenin, Charles LIEU DE REDACTION : Rome DATE : 01/07/1817 TRANSCRIPTION : [f°1, r°] Ministère de l'Intér-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 5 E 9-Rapport primitif de l'Institut sur les envois de 1817, peinture TYPE : rapport de l'Institut de France - primitif LIEU DE REDACTION : Paris DATE : 1817 TRANSCRIPTION : [r°] M. Vinchon Cyparisse 1817 [-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 5 E 10-Rapport primitif de l'Institut sur les envois de 1818, peinture TYPE : rapport de l'Institut de France - primitif PAGE DE TITRE : Rapport de la commission de la section de peinture sur les tableaux en-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 5 E 12-Rapport de l'Institut sur les envois de 1820, peinture TYPE : rapport de l'Institut de France - primitif AUTEUR : Quatremère de Quincy, Antoine PAGE DE TITRE : Rapport de l'Académie royale des Beaux-A-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 5 E 9-Rapport imprimé de l'Institut sur les envois de 1817, peinture TYPE : rapport de la séance publique annuelle de l'Académie des beaux-arts AUTEUR : Dupaty, Charles PAGE DE TITRE : Rapport de l'Académie-162659;Bibliothèque de l'Institut de France - Paris-1818, p. 21-34-Rapport imprimé sur les envois de Rome des pensionnaires en peinture, 1818 TYPE : rapport de la séance publique annuelle de l'Académie des beaux-arts AUTEUR : Anonyme PAGE DE TITRE : Rapport sur les o-125439;Archives de l'Institut de France - Paris-Académie des beaux-arts, 5 E 10-Rapport sur les envois de peinture de 1819 TYPE : rapport de l'Institut de France - officiel AUTEUR : Cartellier, M TITRE : Rapport sur les ouvrages des Pensionnaires du Roi à l'Académie de France à R-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 5 E 12-Rapport de l'Institut sur les envois de 1820, peinture TYPE : rapport de l'Institut de France - officiel AUTEUR : Anonyme PAGE DE TITRE : Rapport fait à l'Académie Royale des Beaux-Arts et approuvé pa-162659;",oeuvre : Cadmus tuant le dragonoeuvre : Diomède enlevant le Palladiumoeuvre : Le Fleuve Scamandreoeuvre : Cadmus tuant le dragonoeuvre : Diomède enlevant le Palliumoeuvre : Le Combat des Centaures et des Lapithesoeuvre : Cadmus tuant le dragonoeuvre : Diomède enlevant le Palladiumoeuvre : Le Fleuve Scamandreoeuvre : Combat de Thésée contre un centaure
134219,https://agorha.inha.fr/inhaprod/ark:/54721/002134219,"Allar, André Joseph",sculpteur,6,masculin,France,,Toulon,22 août 1845,1845,"43.125, 5.9305555555556",43.125,5.9305555555556,Toulon,11 avril 1926,1926,"Salon, médaille 1e classeExposition universelle, médaille d'orExposition universelle, médaille 1e classeLégion d'honneur, chevalierLégion d'honneur, officier",formation-scolarité à l'École des beaux-arts / 15 octobre 1866 / 1869 / sculpture / boursier de la ville de Toulon / formation-pensionnaire à l'Académie de France à Rome / 17 janvier 1870 / 31 décembre 1873 / sculpture / début de la pension le 1er janvier 1870 /,17 janvier 1870,1870,31 décembre 1873,1873,concours-Prix de Rome,1869,"Alexandre buvant, tandis que son médecin Philippe lit la lettre de Parménion","élève de Pierre-Jules Cavelier, Antoine Dantan, Jean-Baptiste Guillaume / #","Distinctions : 1873, Salon, médaille de 1e classe ; 1878, Exposition universelle, médaille de 1e classe ; 1882, Salon, médaille d'honneur ; 1889, Exposition universelle, médaille d'or ; 1900, Exposition universelle, médaille d'or ; 1878, chevalier Légion d'honneur ; 1896, officier Légion d'honneur","Archives nationales - Pierrefitte-sur-Seine - AN-AJ 52 201-205-Tableau des envois de Rome, 1870, peinture TYPE : rapport d'envoi du directeur de l'Académie de France à Rome AUTEUR : Hébert, Ernest PAGE DE TITRE : Académie impériale de France à Rome. Section de sc-158865;Archives de l'Académie de France à Rome-carton 84-Tableau des envois de Rome, 1871, sculpture TYPE : rapport d'envoi du directeur de l'Académie de France à Rome AUTEUR : Anonyme PAGE DE TITRE : Académie de France à Rome. Sections de Sculpture et de G-162658;Archives de l'Académie de France à Rome-carton 84-Tableau des envois de Rome, 1872, sculpture TYPE : rapport d'envoi du directeur de l'Académie de France à Rome AUTEUR : Anonyme PAGE DE TITRE : Académie de France à Rome. Sections de Sculpture et de G-162658;Archives de l'Académie de France à Rome-carton 84-Tableau des envois de Rome 1873, sculpture TYPE : rapport d'envoi du directeur de l'Académie de France à Rome AUTEUR : Anonyme PAGE DE TITRE : Académie de France à Rome. Sections de Sculpture et de Gr-162658;Archives de l'Académie de France à Rome-carton 84-Tableau de l'envoi de Rome du sculpteur Allar en 1874 TYPE : rapport d'envoi du directeur de l'Académie de France à Rome AUTEUR : Anonyme PAGE DE TITRE : Académie de France à Rome. Sections de Sculptu-162658;Archives nationales - Pierrefitte-sur-Seine - AN-AJ 52 205-Rapport primitif de la commission des professeurs de l'École des beaux-arts sur les envois de 1871, sculpture TYPE : rapport de la Commission de l'École des beaux-arts - primitif AUTEUR : Anonyme PAGE-158865;Archives de l'Institut de France - Paris-Académie des beaux-arts, 5 E 50-Rapport primitif de l'Institut sur les envois de 1872, sculpture TYPE : rapport de l'Institut de France - primitif AUTEUR : Perraud, Jean-Joseph PAGE DE TITRE : Rapport sur les ouvrages de la classe d-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 5 E 51-Rapport primitif de l'Institut sur les envois de 1873, sculpture TYPE : rapport de l'Institut de France - primitif AUTEUR : Perraud, Jean-Joseph PAGE DE TITRE : Sculpture LIEU DE REDACTION : Paris DAT-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 5 E 51-Rapport primitif de l'Institut sur les envois de 1874, sculpture TYPE : rapport de l'Institut de France - primitif AUTEUR : Anonyme PAGE DE TITRE : Sculpture LIEU DE REDACTION : Paris DATE : 1874 TRAN-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 5 E 52-Rapport primitif de l'Institut sur les envois de 1875, sculpture TYPE : rapport de l'Institut de France - primitif AUTEUR : Anonyme PAGE DE TITRE : Sculpture LIEU DE REDACTION : Paris DATE : 1875 TRAN-162659;Archives nationales - Pierrefitte-sur-Seine - AN-AJ 52 205 DOUBLON48-description EDRome 707-158865;Archives de l'Institut de France - Paris-Académie des beaux-arts, 2 E 15, p. 108-109-Rapport sur les envois de sculpture de 1872 TYPE : rapport de l'Institut de France - officiel AUTEUR : Perraud, Jean-Joseph PAGE DE TITRE : Séance du samedi 14 décembre 1872 / M. Perraud, au nom de la-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 2 E 15, p. 211-212-Rapport sur les envois de sculpture de 1873 TYPE : rapport de l'Institut de France - officiel AUTEUR : Perraud, Jean-Joseph PAGE DE TITRE : Séance du samedi 8 novembre 1873 / M. Perraud, au nom de la-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 2 E 15, p. 286-287-Rapport sur les envois de sculpture de 1874 TYPE : rapport de l'Institut de France - officiel AUTEUR : Cavelier, Pierre Jules PAGE DE TITRE : Séance du samedi 1er août 1874 / M. Cavelier, au nom de la-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 2 E 15, p. 393-395-Rapport sur les envois de sculpture de 1875 TYPE : rapport de l'Institut de France - officiel AUTEUR : Bonnassieux, Jean-Marie PAGE DE TITRE : Séance du samedi 4 septembre 1875 / M. Bonnassieux, au no-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 2 E 15, p. 393-395-Rapport sur les envois de sculpture de 1875 TYPE : rapport de l'Institut de France - officiel AUTEUR : Bonnassieux, Jean-Marie PAGE DE TITRE : Séance du samedi 4 septembre 1875 / M. Bonnassieux, au no-162659;","oeuvres : Hécube retrouvant le corps de son fils [Hécube et Polydore] ; Faune Borghèse, copie d'après l'antiqueoeuvres : L'Enfant des Abbruzes ; Tête d'étude (non exécutée) ; Dessin d'après l'antique ou les grands maîtres (non exécuté)oeuvres : La Tentation d'Eve (plâtre de l'envoi de 4e année) ; Sainte Cécileoeuvre : La Tentationoeuvres : Hécube retrouvant le corps de son fils sur le rivage [Hécube et Polydore] ; Faune Borghèse, copie d'après l'antiqueoeuvre : L'Enfant des Abruzzesoeuvre : Sainte Cécileoeuvre : La Tentationoeuvre : La Tentationoeuvres : Hécube retrouvant le corps de son fils sur le rivage [Hécube et Polydore] ; Faune Borghèse, copie d'après l'antiqueoeuvre : L'Enfant des Abruzzesoeuvre : Sainte Cécileoeuvre : La Tentationoeuvre : La Tentationoeuvre : La Tentation d'Eve"
130489,https://agorha.inha.fr/inhaprod/ark:/54721/002130489,,,,masculin,Italie,,Italie,ca. 1395,1395,,,,Rome,1455,1455,,,,,,,,,,,Peintre italien du XIVe s et frère dominicain.,"Archives de l'Académie de France à Rome-carton 84, f° 96-Tableau des envois de Rome, 1876, peinture TYPE : rapport d'envoi du directeur de l'Académie de France à Rome AUTEUR : Lenepveu, Jules-Eugène PAGE DE TITRE : Académie de France à Rome. Section de pein-162658;Archives de l'Institut de France - Paris-Académie des beaux-arts, 5 E 53-Rapport primitif de l'Institut sur les envois de 1876, peinture TYPE : rapport de l'Institut de France - primitif AUTEUR : Gérôme, Jean Léon PAGE DE TITRE : Rapport primitif sur les envois de Rome, 18-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 5 E 62-Rapport primitif de l'Institut sur les envois de 1890, peinture TYPE : rapport de l'Institut de France - primitif AUTEUR : Bonnat, Léon PAGE DE TITRE : Peinture LIEU DE REDACTION : Paris DATE : 1890 T-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 2 E 15, p. 485-487-Rapport sur les envois de peinture de 1876 TYPE : rapport de l'Institut de France - officiel AUTEUR : Gérôme, Jean Léon PAGE DE TITRE : Séance du 24 juin 1876. M. Gérôme, au nom de la section de peint-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 2 E 18, p. 132-135-Rapport sur les envois de peinture de 1890 TYPE : rapport de l'Institut de France - officiel AUTEUR : Bonnat, Léon PAGE DE TITRE : Séance du 22 novembre 1890. M. Bonnat, au nom de la section de peintu-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 5 E 24 DOUBLON14-description EDRome 397-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 5 E 53-Rapport primitif de l'Institut sur les envois de 1876, peinture TYPE : rapport de l'Institut de France - primitif AUTEUR : Gérôme, Jean Léon PAGE DE TITRE : Rapport primitif sur les envois de Rome, 18-162659;Archives de l'Institut de France - Paris-Académie des beaux-arts, 5 E 53-Rapport primitif de l'Institut sur les envois de 1876, peinture TYPE : rapport de l'Institut de France - primitif AUTEUR : Gérôme, Jean Léon PAGE DE TITRE : Rapport primitif sur les envois de Rome, 18-162659;",oeuvre : Chapelle Saint Laurent du Vaticanoeuvre : (Titre non précisé)oeuvre : Prédication de saint Étienneoeuvre : (Titre non précisé)oeuvre : La Prédication de saint Étienne
